,Company,Designation,Qualifications,Location,Last Date to Apply,Link
117,Cardinal Health,Marketing,Any Graduate,Bangalore,05 Jan 21,https://www.freshersworld.com/jobs/business-quality-assurance-analyst-jobs-in-bangalore-cardinal-health-1032561
118,Whatfix,,Other Course,Bangalore,04 Jan 21,https://www.freshersworld.com/jobs/product-manager-mobile-jobs-in-bangalore-whatfix-1032560
119,DIAGEO India,Business Development Sales,"B.Com, MBA/PGDM",Bangalore,05 Jan 21,https://www.freshersworld.com/jobs/analyst-rtr-jobs-in-bangalore-diageo-india-1032559
120,CommScope,Business Development Sales,"BE/B.Tech, ME/M.Tech",Bangalore,04 Jan 21,https://www.freshersworld.com/jobs/engineer-r-d-jobs-in-bangalore-commscope-1032558
121,Garena,Site Engineering,Any Graduate,Bangalore,04 Jan 21,https://www.freshersworld.com/jobs/esports-project-manager-jobs-in-bangalore-garena-1032557
122,Siemens Healthineers,Architecture,"BE/B.Tech, ME/M.Tech",Bangalore,04 Jan 21,https://www.freshersworld.com/jobs/lead-research-engineer-machine-learning-jobs-in-bangalore-siemens-healthineers-1032555
123,Mahaveera Transport Pvt. Limited,Business Development Sales,MBA/PGDM,Bangalore,04 Jan 21,https://www.freshersworld.com/jobs/sales-manager-assistant-managers-jobs-in-bangalore-mahaveera-transport-pvt-limited-1032548
124,JIFFY.ai,,"BE/B.Tech, ME/M.Tech",Bangalore,04 Jan 21,https://www.freshersworld.com/jobs/product-engineer-jobs-in-bangalore-jiffy-ai-1032525
125,Deep LogicTech Pvt. Ltd,UX/UI Design,"BE/B.Tech, ME/M.Tech","Bangalore, Delhi",05 Jan 21,https://www.freshersworld.com/jobs/cloud-engineer-python-golang-kubernetes-jobs-in-bangalore-delhi-deep-logictech-pvt-ltd-1032409
126,Numentechnology,UI/UX Design,"BCA, BE/B.Tech, MCA, ME/M.Tech",Bangalore,09 Jan 21,https://www.freshersworld.com/jobs/ios-developer-jobs-in-bangalore-numentechnology-1036021
127,Debtcare Enterprises Private Limited,Staff Nurse,"12th Pass (HSE), Any Graduate",Bangalore,09 Jan 21,https://www.freshersworld.com/jobs/telecaller-jobs-in-bangalore-debtcare-enterprises-private-limited-1036006
128,QUALITRONIS MADRASS PVT LTD,Accountant,"10th Pass (SSC), 12th Pass (HSE)",Bangalore,09 Jan 21,https://www.freshersworld.com/jobs/back-office-assistant-jobs-in-bangalore-qualitronis-madrass-pvt-ltd-1036003
129,CGI,ASM Sales,"Diploma, BCA, BE/B.Tech, BSc, MCA...",Bangalore,05 Jan 21,https://www.freshersworld.com/jobs/mid-level-tester-jobs-in-bangalore-cgi-1032556
130,Biome Helathcare Pvt Ltd,,"Diploma(Bio-Medical, Bio-Tech), 12th Pass (HSE)",Bangalore,09 Jan 21,https://www.freshersworld.com/jobs/service-engineer-biomedical-jobs-in-bangalore-biome-helathcare-pvt-ltd-1036019
131,Hanwha India Project,Business Development Executive,BE/B.Tech,"Bangalore, Ahmedabad, Pune",09 Jan 21,https://www.freshersworld.com/jobs/junior-trainee-engineer-jobs-in-ahmedabad-bangalore-pune-hanwha-india-project-1035992
132,Numentechnology,Software Trainee,"BCA, BE/B.Tech, MCA, ME/M.Tech, MSc",Bangalore,09 Jan 21,https://www.freshersworld.com/jobs/andriod-devoloper-jobs-in-bangalore-numentechnology-1035985
133,MT PROJECTS INDIA,Business Quality Assurance Analyst,"Diploma, BE/B.Tech, ME/M.Tech","Bangalore, Hyderabad, Vizianagaram",09 Jan 21,https://www.freshersworld.com/jobs/mechanical-design-engineer-jobs-in-vizianagaram-bangalore-hyderabad-mt-projects-india-1035965
134,Deep LogicTech Pvt. Ltd,Product Manager- Mobile,"BCA, BE/B.Tech, MCA, ME/M.Tech, Other Course","Bangalore, Delhi",05 Jan 21,https://www.freshersworld.com/jobs/database-programmer-administrator-jobs-in-bangalore-delhi-deep-logictech-pvt-ltd-1032374
135,Hinduja Global Solutions,Analyst - RTR,"B.Com, BBA/BBM, BCA",Bangalore,09 Jan 21,https://www.freshersworld.com/jobs/back-office-executive-non-voice-jobs-in-bangalore-hinduja-global-solutions-1035976
136,Totalcloud Inc,Engineer- R/D,"BCA, BE/B.Tech, MCA, ME/M.Tech",Bangalore,09 Jan 21,https://www.freshersworld.com/jobs/front-end-developer-jobs-in-bangalore-totalcloud-inc-1035914
137,N K SAHA,Esports Project Manager,BE/B.Tech,"Bangalore, Hyderabad, Chennai",09 Jan 21,https://www.freshersworld.com/jobs/junior-electrical-engineer-jobs-in-bangalore-chennai-hyderabad-n-k-saha-1035904
138,Allegion,Lead Research Engineer-Machine Learning,"BE/B.Tech, Other Course",Bangalore,04 Jan 21,https://www.freshersworld.com/jobs/engineer-design-mechanical-jobs-in-bangalore-allegion-1031217
139,For a client of TeamLease Services Ltd,Sales Manager/Assistant Managers,"BCA, BE/B.Tech, BSc, MCA, ME/M.Tech...",Bangalore,09 Jan 21,https://www.freshersworld.com/jobs/desktop-support-engineer-jobs-in-bangalore-for-a-client-of-teamlease-services-ltd-1036120
140,PL GROUP,Product Engineer,"Diploma, BE/B.Tech, ME/M.Tech","Bangalore, Hyderabad, Gurgaon",09 Jan 21,https://www.freshersworld.com/jobs/mechanical-design-engineer-jobs-in-gurgaon-bangalore-hyderabad-pl-group-1036170
141,ThiDiff Technologies,,BE/B.Tech,Bangalore,09 Jan 21,https://www.freshersworld.com/jobs/manual-testing-jobs-in-bangalore-thidiff-technologies-1036143
142,KAZ STORY INDIA SERVICES,Cloud Engineer - Python/Golang/Kubernetes,BE/B.Tech,"Bangalore, Gurgaon, Chennai",09 Jan 21,https://www.freshersworld.com/jobs/senior-civil-site-engineer-jobs-in-gurgaon-bangalore-chennai-kaz-story-india-services-1035885
143,ThiDiff Technologies,iOS Developer,BE/B.Tech,Bangalore,09 Jan 21,https://www.freshersworld.com/jobs/react-native-developer-jobs-in-bangalore-thidiff-technologies-1036140
144,Clockwork Business Solution,Telecaller,"BCA, BE/B.Tech, MCA, ME/M.Tech",Bangalore,09 Jan 21,https://www.freshersworld.com/jobs/senior-asp-net-developer-jobs-in-bangalore-clockwork-business-solution-1035896
145,SJK POWERGEN,BACK OFFICE ASSISTANT,BE/B.Tech,"Bangalore, Gurgaon, Chennai",09 Jan 21,https://www.freshersworld.com/jobs/junior-trainee-electronics-engineer-jobs-in-gurgaon-bangalore-chennai-sjk-powergen-1036137
146,ThiDiff Technologies,Mid Level Tester,BE/B.Tech,Bangalore,09 Jan 21,https://www.freshersworld.com/jobs/reactjs-developer-jobs-in-bangalore-thidiff-technologies-1036131
147,LANCO GROUP INDIA,Service Engineer Biomedical,BE/B.Tech,"Bangalore, Hyderabad, Pune",09 Jan 21,https://www.freshersworld.com/jobs/trainee-mechanical-engineer-jobs-in-bangalore-pune-hyderabad-lanco-group-india-1035891
148,Yuvik Enterprises,Junior Trainee engineer,"Diploma, Other Graduate",Bangalore,09 Jan 21,https://www.freshersworld.com/jobs/tele-caller-jobs-in-bangalore-yuvik-enterprises-1036076
149,Yuvik Enterprises,Andriod Devoloper,"B.Com, BBA/BBM",Bangalore,09 Jan 21,https://www.freshersworld.com/jobs/officer-sales-marketing-jobs-in-bangalore-yuvik-enterprises-1036126
150,IBM,Mechanical Design Engineer,"BCA, BE/B.Tech, BSc, Any Graduate",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/technical-support-engineer-jobs-in-bangalore-ibm-1037428
151,Siemens Technology India,Database Programmer Administrator,"Diploma, B.Com, M.Com, BCA, BE/B.Tech...",Bangalore,10 Jan 21,https://www.freshersworld.com/jobs/software-engineer-python-development-jobs-in-bangalore-siemens-technology-india-1037794
152,Bayer,,"M Phil / Ph.D, MS",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/pipeline-data-analyst-jobs-in-bangalore-bayer-1037793
153,Embassy Group,Back Office Executive-Non Voice,"Any Graduate, Other Post Graduate",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/sales-executive-jobs-in-bangalore-embassy-group-1037792
154,Global Healthcare Resource,Front End Developer,"12th Pass (HSE), Any Graduate",Bangalore,10 Jan 21,https://www.freshersworld.com/jobs/customer-care-voice-process-jobs-in-bangalore-global-healthcare-resource-1037791
155,Crowning Staffing Private Limited Company,Junior Electrical Engineer,"Diploma, 12th Pass (HSE)",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/tele-collection-executive-jobs-in-bangalore-crowning-staffing-private-limited-company-1038422
156,NAVRATNA PROJECT LIVE,Engineer Design Mechanical,"Diploma, BE/B.Tech, ME/M.Tech","Bangalore, Gurgaon, Chennai",11 Jan 21,https://www.freshersworld.com/jobs/industrial-sales-engineer-jobs-in-gurgaon-bangalore-chennai-navratna-project-live-1038409
157,IBM,Desktop Support Engineer,"BCA, BE/B.Tech, Any Graduate",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/ui-developer-ibm-cloud-jobs-in-bangalore-ibm-1037530
158,IBM,Mechanical Design Engineer,"BCA, BE/B.Tech, BSc",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/data-analyst-jobs-in-bangalore-ibm-1037509
159,IBM,Manual Testing,"BCA, BE/B.Tech, BSc, Any Graduate",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/test-automation-specialist-jobs-in-bangalore-ibm-1037510
160,IBM,Senior Civil Site Engineer,"BCA, BE/B.Tech, BSc",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/cloud-developer-go-lang-jobs-in-bangalore-ibm-1037502
161,IBM,React Native Developer,"BCA, BE/B.Tech, BSc",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/cloud-developer-virtualization-jobs-in-bangalore-ibm-1037501
162,Ignitarium Technologies,Senior ASP.NET developer,"BE/B.Tech(CSE), ME/M.Tech(CSE, ECE, Embedded System Technologies)",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/engineer-embedded-software-jobs-in-bangalore-ignitarium-technologies-1038297
163,Siemens Technology and Services Private Limited,Junior Trainee Electronics Engineer,"BE/B.Tech, BSc, Other Course",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/process-lead-jobs-in-bangalore-siemens-technology-and-services-private-limited-1037383
164,Siemens Technology and Services Private Limited,ReactJS Developer,"BCA, BE/B.Tech, BSc, Other Course",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/setup-developer-jobs-in-bangalore-siemens-technology-and-services-private-limited-1037389
165,Siemens Technology and Services Private Limited,Trainee Mechanical Engineer,"BE/B.Tech, BSc, Other Course",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/lean-program-manager-jobs-in-bangalore-siemens-technology-and-services-private-limited-1037394
166,Stone Tools & Chemicals Pvt Ltd,Tele Caller,"Diploma, B.Com, M.Com, MA, BBA/BBM...",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/sales-marketing-executive-jobs-in-bangalore-stone-tools-chemicals-pvt-ltd-1038314
167,Siemens Technology and Services Private Limited,Officer - Sales Marketing,"BCA, BE/B.Tech, BSc, Other Course",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/software-developer-c-linux-python-jobs-in-bangalore-siemens-technology-and-services-private-limited-1037395
168,MT PROJECTS INDIA,Technical Support Engineer,"Diploma, BE/B.Tech, ME/M.Tech","Bangalore, Gurgaon, Chennai",11 Jan 21,https://www.freshersworld.com/jobs/plant-manager-jobs-in-gurgaon-bangalore-chennai-mt-projects-india-1038290
169,Siemens Technology and Services Private Limited,Software Engineer-Python Development,"BCA, BE/B.Tech, Other Course",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/junior-ui-developer-jobs-in-bangalore-siemens-technology-and-services-private-limited-1037380
170,Siemens Technology and Services Private Limited,Pipeline Data Analyst,"BCA, BE/B.Tech, Other Course",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/full-stack-developer-jobs-in-bangalore-siemens-technology-and-services-private-limited-1037398
171,Bhatt Management Services Pvt.,,"B.Com, BA, BCA, MBA/PGDM(Banking & Finance, Marketing)",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/marketing-executive-jobs-in-bangalore-bhatt-management-services-pvt-1038199
172,HAL,Sales Executive,Certificate Course (ITI),Bangalore,12 Dec 20,https://www.freshersworld.com/jobs/apprenticeship-training-jobs-in-bangalore-hal-1038206
173,Swiggy,Customer Care-Voice Process,"10th Pass (SSC), 12th Pass (HSE)",Bangalore,12 Dec 20,https://www.freshersworld.com/jobs/delivery-executive-jobs-bangalore-swiggy-0-to-0-years-of-experience-12-november-2020-1007621
174,For a client of TeamLease Services Ltd,,10th Pass (SSC),Bangalore,30 Nov 20,https://www.freshersworld.com/jobs/delivery-associate-jobs-in-bangalore-for-a-client-of-teamlease-services-ltd-904786
175,The Worlds Largest eCommerce Company,Tele Collection Executive,"Certificate Course (ITI), Diploma, B.Com, BA, BBA/BBM...",Bangalore,30 Nov 20,https://www.freshersworld.com/jobs/station-support-associate-jobs-in-bangalore-amazon-transportation-services-pvt-ltd-904742
176,Swiggy,Industrial Sales Engineer,"10th Pass (SSC), 12th Pass (HSE)",Bangalore,30 Nov 20,https://www.freshersworld.com/jobs/delivery-executive-for-swiggy-jobs-in-bangalore-bundl-technologies-pvt-ltd-976595
177,APM Terminal Sport India,UI DeveloperIBM Cloud,"Diploma, BE/B.Tech, ME/M.Tech","Bangalore, Hyderabad, Gurgaon",10 Jan 21,https://www.freshersworld.com/jobs/electrical-service-engineer-jobs-in-gurgaon-bangalore-hyderabad-apm-terminal-sport-india-1037003
178,Inline-4 Automotives,Data Analyst,"Diploma, M Phil / Ph.D, B.Com, M.Com, MA...",Bangalore,10 Jan 21,https://www.freshersworld.com/jobs/in-sales-executive-jobs-in-bangalore-inline-4-automotives-1037082
179,RAO AND ASSOCIATES,Test Automation Specialist,B.Com,Bangalore,10 Jan 21,https://www.freshersworld.com/jobs/accounting-executive-jobs-in-bangalore-rao-and-associates-1037101
180,Micromatix Innovations P Ltd,,"B.Com, M.Com",Bangalore,11 Dec 20,https://www.freshersworld.com/jobs/office-accountant-jobs-bangalore-micromatix-innovations-p-ltd-2-to-5-years-of-experience-11-november-2020-1037889
181,PL GROUP,Cloud Developer Go Lang,"Diploma, BE/B.Tech, ME/M.Tech","Bangalore, Hyderabad, Chennai",10 Jan 21,https://www.freshersworld.com/jobs/electrical-service-engineer-jobs-in-bangalore-chennai-hyderabad-pl-group-1037023
182,ThiDiff Technologies,Cloud Developer Virtualization,BE/B.Tech,Bangalore,10 Jan 21,https://www.freshersworld.com/jobs/node-js-developer-jobs-in-bangalore-thidiff-technologies-1037039
183,ThiDiff Technologies,Engineer Embedded Software,BE/B.Tech,Bangalore,10 Jan 21,https://www.freshersworld.com/jobs/ios-developer-jobs-in-bangalore-thidiff-technologies-1037047
184,ThiDiff Technologies,Process Lead,BE/B.Tech,Bangalore,10 Jan 21,https://www.freshersworld.com/jobs/reactjs-developer-jobs-in-bangalore-thidiff-technologies-1037044
185,ThiDiff Technologies,Setup Developer,BE/B.Tech,Bangalore,10 Jan 21,https://www.freshersworld.com/jobs/react-native-developer-jobs-in-bangalore-thidiff-technologies-1037043
186,ThiDiff Technologies,,BE/B.Tech,Bangalore,10 Jan 21,https://www.freshersworld.com/jobs/software-tester-jobs-in-bangalore-thidiff-technologies-1037041
187,Bayer,Lean Program Manager,"B.Com, MBA/PGDM",Bangalore,03 Jan 21,https://www.freshersworld.com/jobs/associate-ccd-jobs-in-bangalore-bayer-1031201
188,Accruent,Sales/Marketing Executive,"BE/B.Tech, ME/M.Tech",Bangalore,03 Jan 21,https://www.freshersworld.com/jobs/it-systems-administrator-jobs-in-bangalore-accruent-1031203
189,Koch Global Business Services,Software Developer C Linux Python,"BE/B.Tech, ME/M.Tech",Bangalore,04 Jan 21,https://www.freshersworld.com/jobs/software-engineer-jobs-in-bangalore-koch-global-business-services-1031205
190,HealthPlix Technologies Private Limited,Plant Manager,"Diploma, B.Com, M.Com, BCA, BE/B.Tech...",Bangalore,04 Jan 21,https://www.freshersworld.com/jobs/react-native-developer-jobs-in-bangalore-healthplix-technologies-private-limited-1031206
191,DaMENSCH,Junior UI developer,Any Graduate,Bangalore,03 Jan 21,https://www.freshersworld.com/jobs/social-media-communications-jobs-in-bangalore-damensch-1031207
192,Wireless Brain Consultancy,Full Stack Developer,12th Pass (HSE),Bangalore,10 Jan 21,https://www.freshersworld.com/jobs/admin-hr-assistant-jobs-in-bangalore-wireless-brain-consultancy-1037056
193,Aasaanjobs,Marketing Executive,12th Pass (HSE),Bangalore,10 Jan 21,https://www.freshersworld.com/jobs/customer-support-executive-jobs-in-bangalore-aasaanjobs-1037015
194,Undocked,Apprenticeship Training,"BE/B.Tech, MCA",Bangalore,10 Jan 21,https://www.freshersworld.com/jobs/net-trainee-engineer-jobs-in-bangalore-undocked-1036939
195,Black And White Business Solutions,Delivery Executive,"B.Com, BA, BBA/BBM, BCA, BE/B.Tech",Bangalore,10 Jan 21,https://www.freshersworld.com/jobs/customer-support-executive-jobs-in-bangalore-black-and-white-business-solutions-1036766
196,Dinfotech,Delivery Associate,MBA/PGDM,Bangalore,11 Dec 20,https://www.freshersworld.com/jobs/hr-executive-jobs-bangalore-dinfotech-0-5-to-3-years-of-experience-11-november-2020-1036968
197,Edureka,,Any Graduate,Bangalore,13 Nov 20,https://www.freshersworld.com/jobs/associate-inside-sales-manager-jobs-in-bangalore-edureka-929992
198,Edureka,Station Support Associate,Any Graduate,Bangalore,13 Nov 20,https://www.freshersworld.com/jobs/program-coordinator-technical-consultant-inside-sales-manager-jobs-in-bangalore-edureka-762005
199,Black And White Business Solutions,Delivery executive for Swiggy,Any Graduate,Bangalore,10 Jan 21,https://www.freshersworld.com/jobs/bpo-jobs-for-fresher-s-exp-sal-upto-3lpa-jobs-in-bangalore-black-and-white-business-solutions-1036858
200,Chumbak Design,Electrical Service Engineer,Other Course,Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/digital-marketing-jobs-in-bangalore-chumbak-design-1036527
201,Techasoft Private Limited,In Sales Executive,"Diploma, M Phil / Ph.D, B.Com, M.Com, MA...",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/digital-marketing-jobs-in-bangalore-techasoft-private-limited-1036525
202,GAAQ CONSORTIUM,Accounting executive,"Any Graduate, Other Course",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/content-writing-jobs-in-bangalore-gaaq-consortium-1036524
203,Treewalker Technologies Private limited,Office Accountant,"Any Graduate, Other Course",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/content-writing-jobs-in-bangalore-treewalker-technologies-private-limited-1036523
204,Avian Aerospace Private Limited,Electrical Service Engineer,"Diploma, M Phil / Ph.D, B.Com, M.Com, MA...",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/sales-marketing-jobs-in-bangalore-avian-aerospace-private-limited-1036522
205,Mellow Designs,Node JS developer,"BCA, B.Design, Other Course",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/graphic-design-jobs-in-bangalore-mellow-designs-1036520
206,Mellow Designs,iOS Developer,"Diploma, M Phil / Ph.D, B.Com, M.Com, MA...",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/business-development-sales-jobs-in-bangalore-mellow-designs-1036519
207,Mellow Designs,ReactJS Developer,"Any Graduate, Other Course",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/content-writing-jobs-in-bangalore-mellow-designs-1036518
208,Mellow Designs,,"B.FashionTech, Other Course",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/fashion-design-jobs-in-bangalore-mellow-designs-1036517
209,Suiyas Industries Private Limited,React Native Developer,"Diploma, M Phil / Ph.D, B.Com, M.Com, MA...",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/marketing-jobs-in-bangalore-suiyas-industries-private-limited-1036516
210,Veer B Mahapatra,Software Tester,"Diploma, B.Com, M.Com, BCA, BE/B.Tech...",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/mobile-app-development-jobs-in-bangalore-veer-b-mahapatra-1036515
211,Veer B Mahapatra,Associate - CCD,"Diploma, B.Com, M.Com, BCA, BE/B.Tech...",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/computer-vision-jobs-in-bangalore-veer-b-mahapatra-1036514
212,WAAMH - We Are All Mad Here,IT Systems Administrator,"Diploma, M Phil / Ph.D, B.Com, M.Com, MA...",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/social-media-marketing-jobs-in-bangalore-waamh-we-are-all-mad-here-1036512
213,Yo Doozy,Software Engineer,"Diploma, M Phil / Ph.D, B.Com, M.Com, MA...",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/digital-marketing-jobs-in-bangalore-yo-doozy-1036511
214,Vak Education Today Private Limited,React Native Developer,"Any Post Graduate, Any Graduate, Other Course",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/video-streaming-live-streaming-execution-jobs-in-bangalore-vak-education-today-private-limited-1036510
215,Tercept Incorporation,Social Media Communications,"Diploma, B.Com, M.Com, BCA, BE/B.Tech...",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/big-data-full-stack-software-development-jobs-in-bangalore-tercept-incorporation-1036509
216,Betel Leaf Company,Admin HR Assistant,"Diploma, M Phil / Ph.D, B.Com, M.Com, MA...",Bangalore,11 Jan 21,https://www.freshersworld.com/jobs/business-development-sales-jobs-in-bangalore-betel-leaf-company-1036508
